Code,CamId,Name,Location,Type,Publish,Management Unit,CamStatus,PTZ,Angle,DisplayName,VideoUrl,VideoStreaming,StartTime,EndTime
TTH 120,5b0b74280e517b00119fd7f9,TTH 120,"[10.7581316657523, 106.715644598007]",tth,True,,NOT_IMAGE,False,315,Nguyễn Tất Thành - Cảng Sài Gòn,,0,5/31/18 7:00,5/4/21 10:23
TTH 10.2,56de42f611f398ec0c48128e,TTH 10.2,"[10.7514332528817, 106.684101819992]",tth,True,Management Center of Sai Gon River Tunnel,UP,True,315,Võ Văn Kiệt - Cầu Chữ Y 2,,0,5/20/17 11:14,11/20/25 1:01
TTH 45.1,587ef859b807da0011e33d5b,TTH 45.1,"[10.8200546227367, 106.689868569374]",tth,True,,UP,False,150,Phạm Văn Đồng - Lê Quang Định 2,,0,5/20/17 11:14,7/17/25 9:45
TTH 42.3,58744e97b807da0011e33cb9,TTH 42.3,"[10.7469851294422, 106.689042448998]",tth,True,,UP,False,180,Dương Bá Trạc - Hẻm 219,,0,5/20/17 11:14,10/23/25 6:10
TTH 217,63b54a48bfd3d90017ea7850,TTH 217,"[10.8243804793376, 106.808009147644]",tth,True,,UP,True,,Lã Xuân Oai - Lò Lu,,0,1/4/23 17:10,7/2/25 23:44
TTH 42.6,58c2717ed56e930010a39ac0,TTH 42.6,"[10.7418073259385, 106.656062516536]",tth,True,,UP,False,345,Quốc Lộ 50 - Cầu Nhị Thiên Đường 2,,0,5/20/17 11:14,10/31/25 2:10
TTH 21.41,58afcd9bbd82540010390c41,TTH 21.41,"[10.6965544326304, 106.596699357033]",tth,True,,UP,False,15,Quốc lộ 1 - Nguyễn Hữu Trí 2,,0,5/20/17 11:14,10/23/25 6:10
TTH 219,63b54a9ebfd3d90017ea7911,TTH 219,"[10.8428107736029, 106.828694343567]",tth,True,,UP,True,,Nguyễn Xiển - Nguyễn Văn Tăng,,0,1/4/23 17:10,7/2/25 23:44
TTH 137,5bbc7163ca0577001164127f,TTH 137,"[10.6895647333739, 106.702550053597]",tth,True,,UP,False,195,Lê Văn Lương - Cầu Long Kiểng (HCM),,0,12/10/19 9:16,11/6/25 0:10
TTH 298,6623f3d66f998a001b252890,TTH 298,"[10.8822808688795, 106.769835948944]",tth,True,,UP,True,,Quốc Lộ 1K - đường số 8,,0,4/29/24 14:03,11/18/25 17:28
TTH 103.2,5b6005b6fd4edb0019c7db25,TTH 103.2,"[10.7561079280569, 106.683527827263]",tth,True,,UP,False,135,Trần Hưng Đạo - Nguyễn Biểu,,0,8/3/18 7:05,7/17/25 9:45
TTH 329,662a902a1afb9c00172d2bed,TTH 329,"[10.7114030554397, 106.59907579422]",tth,True,,UP,True,,Quốc Lộ 1 - Hưng Nhơn,,0,4/29/24 14:02,11/18/25 16:40
TTH 399,662b85481afb9c00172dd0f1,TTH 399,"[10.7687191761474, 106.703091859818]",tth,True,,UP,True,,Võ Văn Kiệt - Pasteur,,0,4/29/24 14:04,11/18/25 17:28
TTH 286,6623ef2b6f998a001b252753,TTH 286,"[10.8498285289366, 106.587703227997]",tth,True,,UP,True,,Phan Văn Hớn - Trần Văn Mười,,0,4/29/24 14:02,11/18/25 17:26
TTH 421,66b1c4e7779f7400186741e4,TTH 421,"[10.8004004325254, 106.665455102921]",tth,True,,UP,True,,Hoàng Văn Thụ - Phạm Văn Hai,,0,8/6/24 13:50,11/18/25 17:21
TTH 20.1,56de42f611f398ec0c48129c,TTH 20.1,"[10.7170534584198, 106.600942611694]",tth,True,Management Center of Sai Gon River Tunnel,UP,False,60,Võ Văn Kiệt - Quốc Lộ 1,,0,5/20/17 11:14,11/20/25 3:01
